rank,molecule,pubchem_cid,wikipedia_views_monthly,bucket,family,is_otc,dual_use,added,handling
1,Limonene,22311,1091998,scent-aroma,terpene,,,,
2,Paracetamol,1983,85493,otc-medicine,otc,yes,,,
3,Water,962,70659,everyday-chemistry,inorganic,,,yes,add-core
4,Diphenhydramine,3100,58481,otc-medicine,otc,yes,,,
5,Ethanol,702,55687,food-flavor,alcohol,,yes,,
6,Ibuprofen,3672,53595,otc-medicine,otc,yes,,,
7,Creatine,586,53553,body-endogenous,amino-acid,,,,
8,Cetirizine,2678,51328,otc-medicine,otc,yes,,,
9,Caffeine,2519,49284,food-flavor,alkaloid,,yes,,
10,Monosodium glutamate,23672308,48024,food-flavor,amino-acid,,,,
11,Omeprazole,4594,47306,otc-medicine,otc,yes,,,
12,Aspirin,2244,45189,otc-medicine,otc,yes,,,
13,Sodium bicarbonate,516892,42922,food-flavor,other,,,,
14,Hydrogen peroxide,784,39945,everyday-chemistry,inorganic,yes,,yes,add-core
15,Ammonia,222,39514,everyday-chemistry,inorganic,,,yes,add-core
16,Naproxen,156391,39102,otc-medicine,otc,yes,,,
17,Nitrous oxide,948,36632,everyday-chemistry,inorganic,,yes,yes,add-core
18,Dextromethorphan,5360696,35856,otc-medicine,otc,yes,,,
19,Nicotine,89594,35102,plant-compound,alkaloid,,yes,,
20,Vitamin B12,184933,33721,nutrient-vitamin,vitamin,,,,
21,Dopamine,681,33579,body-endogenous,neurotransmitter,,,,
22,Carbon dioxide,280,33575,everyday-chemistry,inorganic,,,yes,add-core
23,Urea,1176,32992,body-endogenous,other,,,,
24,Glucose,5793,32866,sweetener,sugar,,,yes,
25,Cortisol,5754,32695,body-endogenous,steroid-hormone,,yes,,
26,Testosterone,6013,31232,body-endogenous,steroid-hormone,,yes,,
27,Acetic acid,176,31041,food-flavor,organic-acid,,,,
28,Pseudoephedrine,7028,30793,otc-medicine,otc,yes,,,
29,Serotonin,5202,30705,body-endogenous,neurotransmitter,,,,
